beer_name,brand,style,abv,ibu,ingredients,flavor_profile,pairings,description
North Coast Old Rasputin Russian Imperial Stout,North Coast Brewing Company,Russian Imperial Stout,9.0,75,"water, barley, hops, yeast","roasty, chocolate, coffee, rich","dark chocolate, smoked meats, blue cheese","North Coast Old Rasputin is a rich Russian Imperial Stout with roasty, chocolate, and coffee notes, making it perfect with dark chocolate, smoked meats, and blue cheese"
Brooklyn Lager,Brooklyn Brewery,Amber Lager,5.2,33,"water, barley, hops, yeast","malty, slightly sweet, caramel, smooth","burgers, BBQ ribs, grilled vegetables","Brooklyn Lager is a smooth Amber Lager with malty, slightly sweet, and caramel flavors, perfect for pairing with burgers, BBQ ribs, and grilled vegetables"
Allagash White,Allagash Brewing Company,Belgian Witbier,5.2,15,"water, barley, hops, yeast, orange peel, coriander","citrusy, spicy, refreshing, light","seafood, salads, light cheeses","Allagash White is a refreshing and light Belgian Witbier with citrusy and spicy notes, making it perfect for pairing with seafood, salads, and light cheeses"
Chimay Red,Chimay Brewery,Belgian Dubbel,7.0,35,"water, barley, hops, yeast","malty, fruity, caramel, spicy","roast meats, hard cheeses, chocolate desserts","Chimay Red is a Belgian Dubbel with malty, fruity, and caramel flavors, complemented by a spicy finish Ideal for pairing with roast meats, hard cheeses, and chocolate desserts"
Cantillon Gueuze,Cantillon Brewery,Gueuze,5.0,30,"water, barley, hops, yeast, lambic","tart, funky, fruity, dry","seafood, sushi, goat cheese","Cantillon Gueuze is a tart and funky Belgian Gueuze with fruity and dry characteristics Pairs excellently with seafood, sushi, and goat cheese"
Anchor Steam Beer,Anchor Brewing Company,California Common,4.9,35,"water, barley, hops, yeast","malty, caramel, bready, crisp","grilled sausages, fried fish, grilled vegetables","Anchor Steam Beer is a malty California Common with caramel and bready flavors, balanced by a crisp finish Perfect with grilled sausages, fried fish, and grilled vegetables"
Hitachino Nest White Ale,Kiuchi Brewery,Belgian Witbier,5.5,18,"water, barley, hops, yeast, orange peel, coriander","citrusy, spicy, light, refreshing","seafood, light salads, cheeses","Hitachino Nest White Ale is a refreshing Belgian Witbier with citrusy and spicy notes Pairs wonderfully with seafood, light salads, and soft cheeses"
Goose Island Bourbon County Stout,Goose Island Beer Company,Imperial Stout,14.7,60,"water, barley, hops, yeast, bourbon barrel","rich, bourbon, coffee, chocolate","dark chocolate, steak, aged cheeses","Goose Island Bourbon County Stout is a rich Imperial Stout aged in bourbon barrels, delivering flavors of bourbon, coffee, and chocolate Ideal with dark chocolate, steak, and aged cheeses"
Elysian Space Dust IPA,Elysian Brewing Company,IPA,8.2,73,"water, barley, hops, yeast","hoppy, piney, citrusy, bitter","burgers, spicy tacos, blue cheese","Elysian Space Dust IPA is a hoppy IPA with piney, citrusy, and bitter notes, making it perfect for pairing with burgers, spicy tacos, and blue cheese"
La Trappe Quadrupel,La Trappe Brewery,Quadrupel,10.0,25,"water, barley, hops, yeast","rich, malty, caramel, dark fruit","roast meats, aged cheeses, dark chocolate","La Trappe Quadrupel is a rich Belgian Quadrupel with malty, caramel, and dark fruit flavors It pairs beautifully with roast meats, aged cheeses, and dark chocolate"
Dogfish Head 90 Minute IPA,Dogfish Head Brewery,Imperial IPA,9.0,90,"water, barley, hops, yeast","hoppy, piney, citrusy, caramel","spicy foods, grilled meats, cheddar cheese","Dogfish Head 90 Minute IPA is a bold Imperial IPA with hoppy, piney, and citrusy flavors balanced by a caramel malt backbone It pairs well with spicy foods, grilled meats, and cheddar cheese"
Avery Brewing White Rascal,Avery Brewing Company,Belgian Witbier,5.6,20,"water, barley, hops, yeast, orange peel, coriander","citrusy, spicy, refreshing, smooth","seafood, light salads, soft cheeses","Avery Brewing White Rascal is a smooth Belgian Witbier with refreshing citrusy and spicy notes, making it perfect for pairing with seafood, light salads, and soft cheeses"
Kingfisher Premium Lager,United Breweries,Lager,4.8,15,"water, barley, hops, yeast","crisp, light, malty, refreshing","grilled meats, fried snacks, cheese platters","Kingfisher Premium Lager is a crisp, light lager with malty flavors, offering a refreshing taste that pairs perfectly with grilled meats, fried snacks, and cheese platters"
Haywards 5000,Shaw Wallace & Company,Strong Beer,7.5,30,"water, barley, hops, yeast","strong, malty, spicy, bitter","spicy food, grilled chicken, barbecue","Haywards 5000 is a strong beer with malty, spicy, and slightly bitter flavors, ideal for pairing with spicy food, grilled chicken, and barbecue"
Royal Challenge,Shaw Wallace & Company,Strong Beer,7.0,25,"water, barley, hops, yeast","robust, malty, sweet, smooth","grilled meats, cheese, pasta","Royal Challenge is a robust strong beer with malty and sweet notes, offering a smooth finish Best paired with grilled meats, cheese, and pasta"
Bira 91,B9 Beverages,Lager,4.9,18,"water, barley, hops, yeast","light, crisp, malty, refreshing","fried snacks, grilled fish, vegetable curries","Bira 91 is a light and crisp lager with malty flavors, providing a refreshing experience Perfectly pairs with fried snacks, grilled fish, and vegetable curries"
Simla Brew,Simla Brewery,Craft Beer,5.2,20,"water, barley, hops, yeast","fruity, hoppy, crisp, smooth","grilled meats, cheese, burgers","Simla Brew is a fruity and hoppy craft beer with a crisp, smooth finish Pairs wonderfully with grilled meats, cheese, and burgers"
Old Monk 10000 Super Beer,Mohun Bagan,Strong Beer,10.0,35,"water, barley, hops, yeast","strong, bitter, malty, robust","spicy curries, grilled meats, cheese","Old Monk 10000 Super Beer is a strong and robust beer with bitter, malty notes Best enjoyed with spicy curries, grilled meats, and cheese"
Tuborg,Carlsberg Group,Lager,4.6,20,"water, barley, hops, yeast","crisp, refreshing, light, slightly sweet","seafood, light salads, fried snacks","Tuborg is a crisp and refreshing lager with a light, slightly sweet flavor, perfect for pairing with seafood, light salads, and fried snacks"
Amstel Light,Amstel Brewery,Lager,3.5,11,"water, barley, hops, yeast","light, crisp, slightly bitter, refreshing","salads, light sandwiches, pasta","Amstel Light is a light and crisp lager with a slightly bitter taste, offering a refreshing experience Ideal for pairing with salads, light sandwiches, and pasta"
Godfather Strong Beer,Shaw Wallace & Company,Strong Beer,8.0,35,"water, barley, hops, yeast","strong, malty, hoppy, bitter","spicy foods, grilled meats, cheese platters","Godfather Strong Beer is a strong beer with malty, hoppy, and bitter flavors Perfectly pairs with spicy foods, grilled meats, and cheese platters"
Miller High Life,Miller Brewing Company,American Lager,4.6,10,"water, barley, hops, yeast","crisp, light, refreshing, slightly sweet","grilled meats, fried food, cheese platters","Miller High Life is a crisp and refreshing American Lager with a slightly sweet, light taste Ideal for pairing with grilled meats, fried food, and cheese platters"
Castle Lager,Castle Brewing Company,Pale Lager,5.0,14,"water, barley, hops, yeast","light, crisp, malty, slightly bitter","barbecue, grilled chicken, salads","Castle Lager is a light, crisp pale lager with malty and slightly bitter notes, making it a perfect match for barbecue, grilled chicken, and salads"
Arbor Brewing Company Beers,Arbor Brewing Company,Craft Beer,5.5,30,"water, barley, hops, yeast","hoppy, bitter, fruity, smooth","burgers, pizza, spicy curries","Arbor Brewing Companys craft beers are known for their hoppy, bitter, and fruity flavors, with a smooth finish They pair perfectly with burgers, pizza, and spicy curries"
Kati Patang,Kati Patang Brewing,Craft Beer,5.8,35,"water, barley, hops, yeast","malty, bitter, floral, earthy","grilled meats, cheese, pasta","Kati Patang is a craft beer with malty and bitter notes, along with floral and earthy flavors Its an excellent choice to pair with grilled meats, cheese, and pasta"
Budweiser,Anheuser-Busch,American Lager,5.0,12,"water, barley, hops, yeast","crisp, light, smooth, slightly sweet","hot dogs, grilled burgers, fried food","Budweiser is a smooth, light American lager with a slightly sweet, crisp taste Best enjoyed with hot dogs, grilled burgers, and fried food"
Carlsberg,Carlsberg Group,Lager,5.0,20,"water, barley, hops, yeast","crisp, refreshing, light, slightly bitter","fried snacks, pizza, seafood","Carlsberg is a crisp and refreshing lager with light, slightly bitter notes, making it a great choice to pair with fried snacks, pizza, and seafood"
Kingfisher Strong,United Breweries,Strong Beer,7.0,28,"water, barley, hops, yeast","robust, malty, bitter, smooth","spicy curries, grilled meats, cheese platters","Kingfisher Strong is a robust and malty beer with a smooth, slightly bitter finish It pairs well with spicy curries, grilled meats, and cheese platters"
Knockout Beer,Shaw Wallace & Company,Strong Beer,8.0,30,"water, barley, hops, yeast","strong, malty, spicy, bitter","grilled meats, fried food, cheese","Knockout Beer is a strong and malty beer with spicy and bitter flavors It pairs excellently with grilled meats, fried food, and cheese"
White Owl,White Owl Brewery,Craft Beer,4.9,18,"water, barley, hops, yeast","light, crisp, hoppy, refreshing","salads, grilled chicken, seafood","White Owl is a light and crisp craft beer with hoppy and refreshing flavors, making it an ideal pairing for salads, grilled chicken, and seafood"
Goa Brewing Company,Goa Brewing Company,Craft Beer,5.2,25,"water, barley, hops, yeast","hoppy, bitter, fruity, smooth","burgers, pizza, spicy curries","Goa Brewing Company produces craft beers with hoppy, bitter, and fruity notes, offering a smooth finish that pairs well with burgers, pizza, and spicy curries"
Lion Beer,Lion Brewery,Pale Lager,4.8,18,"water, barley, hops, yeast","crisp, refreshing, slightly bitter, light","grilled meats, fried snacks, light salads","Lion Beer is a crisp and refreshing pale lager with a slight bitterness, perfect for pairing with grilled meats, fried snacks, and light salads"
Beck's,Beck's Brewery,Pilsner,5.0,24,"water, barley, hops, yeast","crisp, bitter, malty, refreshing","grilled sausages, seafood, salads","Becks is a crisp and refreshing German Pilsner with a balanced bitter and malty flavor, perfect for pairing with grilled sausages, seafood, and salads"
Corona Extra,Grupo Modelo,Pale Lager,4.6,18,"water, barley, hops, yeast","light, crisp, citrusy, refreshing","tacos, nachos, grilled fish","Corona Extra is a light and crisp pale lager with a refreshing citrusy flavor, commonly enjoyed with tacos, nachos, and grilled fish"
Heineken,Heineken N.V.,Pale Lager,5.0,19,"water, barley, hops, yeast","crisp, malty, smooth, lightly bitter","burgers, fried chicken, light appetizers","Heineken is a smooth and crisp pale lager with light malty and bitter notes, making it a versatile companion for burgers, fried chicken, and light appetizers"
Asahi Super Dry,Asahi Breweries,Japanese Lager,5.0,16,"water, barley, rice, hops, yeast","dry, crisp, clean, lightly bitter","sushi, tempura, grilled vegetables","Asahi Super Dry is a clean and crisp Japanese lager with a dry finish, ideal for pairing with sushi, tempura, and grilled vegetables"
Kingfisher Premium Lager,United Breweries,Pale Lager,4.8,15,"water, barley, hops, yeast","light, crisp, mildly sweet, refreshing","spicy curries, tandoori chicken, fried snacks","Kingfisher Premium Lager is a light and refreshing beer with a mildly sweet and crisp taste, perfect for pairing with spicy curries, tandoori chicken, and fried snacks"
Tiger Beer,Asia Pacific Breweries,Pale Lager,5.0,20,"water, barley, hops, yeast","crisp, clean, lightly sweet, refreshing","noodles, dim sum, spring rolls","Tiger Beer is a crisp and clean pale lager with lightly sweet flavors, best enjoyed with noodles, dim sum, and spring rolls"
Stella Artois,Anheuser-Busch InBev,Pilsner,5.2,24,"water, barley, hops, yeast","crisp, slightly bitter, smooth, refreshing","grilled fish, light salads, soft cheeses","Stella Artois is a smooth and refreshing pilsner with a crisp and slightly bitter finish, pairing well with grilled fish, light salads, and soft cheeses"
Carlsberg,Carlsberg Group,Pale Lager,5.0,20,"water, barley, hops, yeast","crisp, refreshing, light, slightly bitter","fried snacks, pizza, seafood","Carlsberg is a crisp and refreshing lager with light, slightly bitter notes, making it a great choice to pair with fried snacks, pizza, and seafood"
Tuborg,Carlsberg Group,Pale Lager,4.6,18,"water, barley, hops, yeast","light, crisp, smooth, mildly sweet","snacks, grilled chicken, salads","Tuborg is a light and crisp lager with a smooth and mildly sweet taste, wellsuited for snacks, grilled chicken, and salads"
Budweiser,Anheuser-Busch,American Lager,5.0,12,"water, barley, rice, hops, yeast","crisp, light, smooth, slightly sweet","hot dogs, grilled burgers, fried food","Budweiser is a smooth, light American lager with a slightly sweet, crisp taste Best enjoyed with hot dogs, grilled burgers, and fried food"
Barasinghe Beer,Barasinghe Breweries,Pale Lager,5.0,18,"water, barley, hops, yeast","crisp, refreshing, lightly sweet, smooth","fried snacks, spicy curries, barbecue","Barasinghe Beer is a refreshing pale lager with a smooth and lightly sweet taste, ideal for pairing with fried snacks, spicy curries, and barbecue"
Arna Strong Beer,Arna Beverages,Strong Lager,6.5,20,"water, barley, hops, yeast","bold, malty, smooth, mild bitterness","grilled meat, spicy food, cheese platters","Arna Strong Beer is a bold and malty lager with a smooth finish and mild bitterness, perfect for grilled meats, spicy foods, and cheese platters"
Mustang Beer,Mustang Brewery,Amber Lager,5.5,22,"water, barley, hops, yeast","toasty, caramel, smooth, mildly bitter","roasted chicken, stirfried vegetables, salads","Mustang Beer is an amber lager with toasty caramel notes and a smooth, mildly bitter finish, ideal for roasted chicken, stirfried vegetables, and salads"
San Miguel Beer,San Miguel Brewery,Pale Lager,5.0,18,"water, barley, hops, yeast","crisp, clean, lightly sweet, refreshing","seafood, grilled fish, light appetizers","San Miguel Beer is a clean and crisp pale lager with lightly sweet flavors, great for seafood, grilled fish, and light appetizers"
Sherpa Khumbu Beer,Himalayan Brewery,Wheat Beer,5.2,15,"water, wheat, barley, hops, yeast","fruity, citrusy, smooth, refreshing","dumplings, spicy curries, salads","Sherpa Khumbu Beer is a refreshing wheat beer with fruity and citrusy notes, perfect with dumplings, spicy curries, and fresh salads"
Everest Beer,Mount Everest Brewery,Pale Lager,5.0,16,"water, barley, hops, yeast","crisp, light, mildly sweet, refreshing","spicy food, fried snacks, barbecue","Everest Beer is a light and crisp pale lager with mildly sweet notes, an excellent choice to pair with spicy food, fried snacks, and barbecue"
Gorkha Beer,Gorkha Brewery,Pale Lager,5.5,20,"water, barley, hops, yeast","smooth, malty, crisp, mildly bitter","grilled meats, stews, spicy curries","Gorkha Beer is a smooth and malty pale lager with a crisp and mildly bitter finish, ideal for grilled meats, stews, and spicy curries"
Nepal Ice Beer,Nepal Brewery,Strong Lager,7.0,25,"water, barley, hops, yeast","bold, rich, malty, bitter","spicy curries, red meat, aged cheese","Nepal Ice Beer is a bold and rich strong lager with malty and bitter notes, perfect for spicy curries, red meat, and aged cheese"
